user,session,timepress,timerelease,keycode,keyname
3,5,468,577,100,numpad_4
3,5,780,889,97,numpad_1
3,5,1419,1497,105,numpad_9
3,5,1825,1918,99,numpad_3
3,5,3712,3759,103,numpad_7
3,5,3868,3900,103,numpad_7
3,5,4258,4336,102,numpad_6
3,5,4477,4539,97,numpad_1
3,5,4820,4867,10,enter
3,6,0,46,105,numpad_9
3,6,187,249,97,numpad_1
3,6,390,436,100,numpad_4
3,6,1076,1154,97,numpad_1
3,6,1326,1388,105,numpad_9
3,6,1528,1606,99,numpad_3
3,6,1872,1918,103,numpad_7
3,6,1996,2012,103,numpad_7
3,6,2308,2371,102,numpad_6
3,6,2496,2558,97,numpad_1
3,6,2979,3042,10,enter
3,7,0,62,105,numpad_9
3,7,218,312,97,numpad_1
3,7,546,608,100,numpad_4
3,7,1201,1279,97,numpad_1
3,7,1450,1528,105,numpad_9
3,7,1731,1825,99,numpad_3
3,7,2480,2527,103,numpad_7
3,7,2652,2683,103,numpad_7
3,7,2886,2964,102,numpad_6
3,7,3088,3151,97,numpad_1
3,7,3541,3603,10,enter
3,8,0,78,105,numpad_9
3,8,266,328,97,numpad_1
3,8,546,609,100,numpad_4
3,8,1295,1342,97,numpad_1
3,8,1514,1576,105,numpad_9
3,8,1810,1872,99,numpad_3
3,8,2559,2606,103,numpad_7
3,8,2699,2746,103,numpad_7
3,8,2933,3011,102,numpad_6
3,8,3136,3198,97,numpad_1
3,8,3620,3682,10,enter
3,9,0,63,105,numpad_9
3,9,234,312,97,numpad_1
3,9,718,811,100,numpad_4
3,9,1342,1420,97,numpad_1
3,9,1591,1669,105,numpad_9
3,9,1997,2091,99,numpad_3
3,9,2652,2683,103,numpad_7
3,9,2793,2839,103,numpad_7
3,9,3042,3151,102,numpad_6
3,9,3432,3495,97,numpad_1
3,9,4009,4072,10,enter
3,10,0,78,105,numpad_9
3,10,219,250,97,numpad_1
3,10,453,500,100,numpad_4
3,10,1014,1077,97,numpad_1
3,10,1233,1311,105,numpad_9
3,10,1467,1560,99,numpad_3
3,10,2028,2091,103,numpad_7
3,10,2169,2200,103,numpad_7
3,10,2450,2543,102,numpad_6
3,10,2684,2746,97,numpad_1
3,10,3495,3557,10,enter
3,11,0,110,105,numpad_9
3,11,281,359,97,numpad_1
3,11,578,656,100,numpad_4
3,11,1654,1685,97,numpad_1
3,11,1826,1888,105,numpad_9
3,11,2091,2184,99,numpad_3
3,11,3042,3089,103,numpad_7
3,11,3167,3214,103,numpad_7
3,11,4134,4197,102,numpad_6
3,11,4322,4353,97,numpad_1
3,11,4556,4602,10,enter
3,12,0,62,105,numpad_9
3,12,234,265,97,numpad_1
3,12,468,546,100,numpad_4
3,12,1716,1747,97,numpad_1
3,12,1934,1996,105,numpad_9
3,12,2152,2246,99,numpad_3
3,12,3182,3260,103,numpad_7
3,12,3385,3432,103,numpad_7
3,12,3884,3946,102,numpad_6
3,12,4118,4180,97,numpad_1
3,12,4336,4399,10,enter
3,13,0,63,105,numpad_9
3,13,390,484,97,numpad_1
3,13,843,921,100,numpad_4
3,13,1779,1857,97,numpad_1
3,13,1997,2075,105,numpad_9
3,13,2247,2325,99,numpad_3
3,13,3042,3073,103,numpad_7
3,13,3151,3214,103,numpad_7
3,13,3432,3510,102,numpad_6
3,13,3635,3697,97,numpad_1
3,13,4103,4165,10,enter
3,14,0,62,105,numpad_9
3,14,250,312,97,numpad_1
3,14,452,515,100,numpad_4
3,14,1934,1997,97,numpad_1
3,14,2184,2262,105,numpad_9
3,14,2527,2621,99,numpad_3
3,14,3666,3682,103,numpad_7
3,14,3760,3791,103,numpad_7
3,14,4040,4087,102,numpad_6
3,14,4243,4306,97,numpad_1
3,14,4805,4867,10,enter
3,15,0,78,105,numpad_9
3,15,265,328,97,numpad_1
3,15,515,608,100,numpad_4
3,15,1373,1482,97,numpad_1
3,15,2044,2106,105,numpad_9
3,15,2340,2402,99,numpad_3
