user,session,keyname,timepress,timerelease,pressure,tool_major,x,x_acceleration,x_rotation,y,y_acceleration,y_rotation,z_acceleration,z_rotation
0,3,7,3065,3148,0.625,155.059,185.0,-0.4727549999999999,0.303079,1574.0,6.6836850000000005,0.22957399999999997,6.78507,0.5060300000000001
0,3,7,3249,3332,0.6125,139.0405,200.5,-0.495392,0.30385500000000004,1558.5,6.739700000000001,0.231002,6.881955,0.50592
0,3,6,3450,3533,0.59375,123.022,896.0,-0.5224759999999999,0.302972,1437.0,6.72354,0.23131100000000002,6.792414999999999,0.5047050000000001
0,3,1,3601,3701,0.5875,155.059,152.0,-0.406578,0.30295400000000006,1242.0,6.752000000000001,0.2317845,6.91596,0.505186
0,3,enter,4371,4404,0.5,123.022,936.0,-0.492645,0.312663,1694.0,6.6741,0.226721,6.63985,0.497964
0,4,9,0,81,0.5750000000000001,123.022,917.0,-0.02052325,0.292765,1552.0,6.298905000000001,0.196756,7.191184999999999,0.520301
0,4,1,292,366,0.5875000000000001,139.0405,141.5,-0.024193,0.29335,1244.5,6.2869399999999995,0.1962195,7.588869999999999,0.5207875000000001
0,4,4,509,584,0.5625,123.022,115.5,-0.02856447,0.296024,1398.0,6.404745,0.1955695,7.33847,0.51932
0,4,1,1557,1631,0.5625,139.0405,134.5,0.05961595,0.28943800000000003,1246.0,6.207905,0.199596,7.43385,0.5258079999999999
0,4,9,1841,1925,0.5875,123.022,895.0,-0.20874,0.2878205,1557.0,6.265265,0.20056400000000002,7.11309,0.527909
0,4,3,2101,2167,0.6000000000000001,155.059,913.0,-0.17270649999999999,0.2839545,1236.0,6.411414999999998,0.2043205,7.03334,0.5307474999999999
0,4,7,3006,3064,0.6000000000000001,155.059,162.0,-0.1980745,0.286407,1549.0,6.26108,0.208354,7.195145,0.5295310000000001
0,4,7,3165,3248,0.6000000000000001,155.059,168.0,-0.1500395,0.28644200000000003,1559.0,6.290805,0.208155,7.290229999999999,0.5299849999999999
0,4,6,3349,3424,0.6000000000000001,155.059,873.0,-0.230545,0.285873,1439.0,6.276575,0.20758200000000002,7.299475,0.529974
0,4,1,3534,3617,0.5875000000000001,139.0405,142.5,-0.16523,0.28331799999999996,1234.0,6.30986,0.212666,7.1595299999999975,0.533029
0,4,enter,4011,4061,0.5750000000000001,123.022,917.0,-0.261902,0.290546,1679.0,6.23511,0.204758,6.54315,0.5227890000000001
0,5,9,0,76,0.47500000000000003,123.022,899.0,-2.10088,0.243173,1576.5,8.103995000000001,0.42116800000000004,5.06072,0.6186729999999999
0,5,1,816,884,0.6875,187.095,263.0,-1.398825,0.251785,1252.0,9.599045,0.464959,2.3707450000000003,0.637868
0,5,4,1063,1122,0.675,187.095,253.0,-2.364385,0.261538,1449.0,8.70111,0.5097200000000001,3.5287949999999997,0.6382220000000001
0,5,1,2202,2260,0.65625,171.077,229.5,-1.883295,0.255481,1239.5,9.03503,0.433707,1.4107265,0.6232270000000001
0,5,9,2712,2804,0.5625,123.022,883.5,-2.162965,0.236535,1583.5,8.1538,0.4892655,4.80032,0.636652
0,5,3,2984,3034,0.5750000000000001,123.022,908.0,-2.1587,0.24364699999999997,1290.0,8.4708,0.430174,4.72265,0.6256889999999999
0,5,7,4080,4139,0.6625,187.095,267.0,-2.46318,0.2482125,1553.0,8.587430000000001,0.4924545,3.69332,0.6296215000000001
0,5,7,4233,4300,0.7000000000000001,187.095,264.0,-2.4477900000000004,0.24658200000000002,1568.0,8.486115,0.497429,3.684525,0.6322800000000001
