user,session,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,453.0,375.0,406.0,422.0,328.0,407.0,343.0,391.0,391.0,406.0,78.0,63.0,109.0,78.0,63.0,94.0,78.0,78.0,62.0,78.0,94.0
0,1,516.0,421.0,375.0,407.0,343.0,407.0,359.0,375.0,391.0,422.0,94.0,93.0,79.0,79.0,93.0,79.0,78.0,63.0,63.0,62.0,93.0
0,2,469.0,390.0,406.0,422.0,360.0,422.0,375.0,421.0,438.0,453.0,94.0,93.0,125.0,79.0,78.0,78.0,93.0,78.0,79.0,62.0,94.0
0,3,453.0,469.0,438.0,531.0,516.0,546.0,407.0,437.0,485.0,484.0,78.0,110.0,125.0,125.0,125.0,125.0,94.0,93.0,63.0,62.0,109.0
0,4,469.0,375.0,375.0,359.0,328.0,391.0,359.0,344.0,390.0,407.0,109.0,109.0,109.0,93.0,125.0,94.0,93.0,63.0,78.0,63.0,62.0
0,5,468.0,375.0,344.0,406.0,360.0,484.0,344.0,344.0,390.0,438.0,93.0,94.0,110.0,110.0,94.0,109.0,63.0,62.0,62.0,63.0,62.0
0,6,485.0,359.0,375.0,406.0,344.0,438.0,343.0,360.0,375.0,422.0,110.0,94.0,110.0,110.0,79.0,78.0,62.0,63.0,62.0,62.0,62.0
0,7,469.0,375.0,375.0,422.0,344.0,453.0,359.0,375.0,422.0,438.0,110.0,125.0,125.0,110.0,94.0,94.0,94.0,94.0,78.0,63.0,78.0
0,8,421.0,391.0,359.0,391.0,344.0,422.0,359.0,359.0,391.0,438.0,78.0,94.0,94.0,79.0,94.0,94.0,78.0,63.0,63.0,78.0,78.0
0,9,438.0,390.0,375.0,438.0,359.0,406.0,375.0,375.0,407.0,453.0,78.0,93.0,110.0,110.0,94.0,94.0,94.0,79.0,79.0,93.0,94.0
0,10,484.0,375.0,422.0,406.0,360.0,421.0,329.0,375.0,406.0,422.0,62.0,78.0,109.0,78.0,78.0,78.0,63.0,62.0,62.0,62.0,78.0
0,11,484.0,391.0,453.0,406.0,375.0,469.0,343.0,391.0,453.0,453.0,93.0,94.0,93.0,78.0,94.0,94.0,78.0,79.0,94.0,63.0,94.0
0,12,484.0,407.0,406.0,500.0,422.0,453.0,359.0,375.0,422.0,422.0,94.0,94.0,109.0,125.0,125.0,109.0,94.0,78.0,94.0,78.0,125.0
0,13,500.0,391.0,375.0,406.0,344.0,437.0,344.0,375.0,391.0,421.0,109.0,94.0,109.0,93.0,94.0,93.0,94.0,78.0,78.0,93.0,94.0
