user,session,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,307.0,237.0,901.0,467.0,221.0,655.0,238.0,815.0,306.0,773.0,59.0,75.0,59.0,50.0,68.0,68.0,101.0,75.0,85.0,67.0,93.0
0,1,408.0,187.0,1258.0,535.0,247.0,637.0,205.0,832.0,332.0,1037.0,50.0,67.0,59.0,76.0,51.0,42.0,85.0,33.0,68.0,42.0,101.0
0,2,374.0,263.0,977.0,510.0,246.0,1037.0,255.0,985.0,298.0,704.0,84.0,67.0,84.0,67.0,76.0,51.0,110.0,59.0,76.0,58.0,68.0
0,3,276.0,235.0,955.0,335.0,301.0,963.0,184.0,201.0,151.0,770.0,66.0,67.0,75.0,66.0,57.0,66.0,83.0,83.0,83.0,100.0,33.0
0,4,292.0,217.0,1048.0,284.0,260.0,905.0,159.0,184.0,185.0,477.0,81.0,74.0,75.0,74.0,84.0,66.0,58.0,83.0,75.0,83.0,50.0
0,5,816.0,247.0,1139.0,510.0,272.0,1096.0,153.0,383.0,306.0,867.0,76.0,68.0,59.0,58.0,92.0,50.0,59.0,67.0,58.0,50.0,67.0
0,6,276.0,235.0,896.0,201.0,971.0,1046.0,176.0,176.0,176.0,485.0,66.0,50.0,58.0,91.0,66.0,66.0,75.0,75.0,75.0,75.0,75.0
0,7,402.0,1113.0,7174.0,603.0,343.0,1381.0,226.0,369.0,301.0,2319.0,99.0,74.0,58.0,58.0,66.0,58.0,92.0,100.0,58.0,75.0,91.0
0,8,408.0,238.0,994.0,543.0,281.0,714.0,195.0,272.0,646.0,552.0,84.0,84.0,84.0,76.0,85.0,67.0,92.0,67.0,67.0,75.0,76.0
0,9,366.0,306.0,645.0,595.0,314.0,739.0,221.0,306.0,332.0,679.0,68.0,75.0,75.0,67.0,93.0,51.0,85.0,51.0,68.0,50.0,76.0
